brand,model,year,fictional,battery,attack,defense,weight,rarity,brokenChance,baseExp,icon,description
Audiovox,CDM-4000,2001,False,500,10,10,100,0,6,4,candybar,"A candy bar phone manufactured by Toshiba and released by Audiovox."
Audiovox,CDM-9000,2000,False,500,10,10,100,0,6,4,candybar,"A candy bar phone manufactured by Toshiba and released by Audiovox."
Audiovox,CDM-9500,2002,False,650,20,10,108,3,4,6,flip,"A flip phone manufactured by Toshiba and released by Audiovox. Sports a large colour display."
Audiovox,CDM-9950,2003,False,1100,40,10,116,5,4,8,flip,"A flip phone manufactured by Toshiba and released by Audiovox. Their first to support video recording."
Axolotl,ADX1000,1994,True,340,35,50,320,5,2,4,flipcover,"An early Axolotl phone which is becoming very difficult to find."
Axolotl,LS342,2005,True,1250,25,50,125,3,6,7,new_candybar,"One of the most durable Axolotl phones."
BlackBerry,6510,2003,False,900,25,50,160,4,5,5,qwerty,"A BlackBerry phone supporting iDEN networks and Java applications."
BlackBerry,7130,2006,False,1100,35,40,120,2,5,7,new_candybar,"A BlackBerry phone featuring a SureType keypad with a 5x4 layout."
BlackBerry,8700,2005,False,1100,35,45,134,2,5,7,qwerty,"A business QWERTY phone and the first BlackBerry with EDGE data connectivity."
Ericsson,R380,2000,False,960,30,40,164,4,5,6,p900,"The first device to be considered a smartphone. The keyboard flip opens to reveal a touchscreen."
Folio,FM-P40,2002,True,700,30,35,100,3,5,6,new_candybar,"Folio Mobile's first phone with polyphonic ringtones."
Grundig,M131,2005,False,650,40,30,70,2,5,8,new_candybar,"One of the Grundig branded phones that were sold on Movistar."
Gulliver,TGP-K3100,2002,True,760,25,30,103,4,4,6,flip,"A low-end Gulliver flip phone with BREW game support and a colour screen."
Gulliver,TGP-K6400,2006,True,900,35,40,103,3,5,8,slider,"Gulliver's budget slim slide phone with strong multitasking capabilities."
Gulliver,TGP-L5300,2005,True,950,40,35,108,4,4,7,slider,"Gulliver's first phone with DMB TV functionality. It has a horizontal display for this purpose."
Gulliver,TGP-S4100,2004,True,1000,45,40,100,5,4,8,new_candybar,"Gulliver's first 2 megapixel camera phone. It didn't sell well due to its awkward design."
Gxphone,GX100,2006,True,850,20,40,85,1,5,6,new_candybar,"A basic phone made by Gxphone featuring text to speech."
Gxphone,GX120,2002,True,800,15,50,90,1,5,6,new_candybar,"A low-end Gxphone model with a colourful backlight and built-in games."
Gxphone,GX200,2002,True,800,25,40,110,1,5,6,new_candybar,"Gxphone's most popular phone, and their first to support polyphonic ringtones."
Gxphone,GX201,2004,True,900,30,40,100,3,5,6,new_candybar,"An upgraded version of the GX200, supporting GxApp applications."
Gxphone,GX550,2003,True,700,40,30,120,5,4,6,gx55x,"An early camera phone by Gxphone."
Gxphone,GX551,2004,True,800,40,30,125,4,3,6,gx55x,"A camera oriented Gxphone with upgraded specs from the GX550."
Gxphone,GX600,1998,True,700,25,50,160,5,3,5,flipcover,"The first ever Gxphone, back then known as GX-Phone. Has a sliding cover."
Gxphone,GX650,2002,True,950,40,40,140,2,4,8,slider,"A slider PDA phone by Gxphone, supporting J2ME apps."
Gxphone,GX651,2005,True,1000,40,40,130,3,3,8,slider,"A Gxphone model that runs Nokia's Symbian operating system."
Gxphone,GX720,2005,True,900,40,25,110,4,3,6,p900,"A premium slider phone with a large screen."
Kyocera,DS-320,1997,False,500,50,20,175,5,3,5,flip,"An early Japanese smartphone with a monochrome screen."
LG,4NE1,2002,False,850,20,35,105,4,5,4,flipcover,"An early phone from LG. Very similar to the TP-5250, but sports a unique neck strap."
LG,Chocolate,2005,False,800,35,30,80,1,5,7,slider,"One of the most popular LG sliders, originally launched for the Korean market and later internationally."
LG,G4010,2003,False,740,20,30,83,3,5,5,flip,"LG's first GSM phone to be released in the US. Notable for being very thin at the time."
LG,G4050,2003,False,950,40,10,91,5,5,7,flip,"One of LG's first GSM phones to be released in the US. Features an OLED external display and MMS."
LG,L1200,2004,False,950,40,10,95,3,5,8,flip,"A light-weight LG phone featuring a camera and J2ME."
LG,LGC-330W,1997,False,850,15,30,100,1,3,4,flipcover,"LG's first phone to be released in the US. A basic phone with 10 ringtones and 99 contacts."
LG,LX-1200,2003,False,850,15,10,90,2,5,5,flip,"A low-end LG phone, featuring monophonic ringtones and a monochrome display."
LG,LX-5350,2003,False,950,30,10,110,4,5,7,flip,"LG's first colour screen phone to be released in the US. Also features downloadable J2ME apps."
LG,LX-5450,2004,False,950,40,10,110,3,4,7,flip,"LG's first camera phone to be released in the US. Also features downloadable J2ME apps."
LG,LX-5550,2004,False,950,40,10,110,1,4,8,flip,"Very similar to the LG VX-4500, but features an OLED external display."
LG,PM-225,2005,False,1000,40,10,95,2,5,7,flip,"This upgrade to the LG VI-125 adds a VGA camera and a colour external display."
LG,PM-325,2004,False,1000,40,10,94,3,5,7,slider,"LG's first CDMA phone with Bluetooth. Also features an internal antenna."
LG,TM-510,2001,False,950,15,10,120,3,5,5,flip,"An early phone from LG. Features analogue roaming and voice dialing."
LG,TP-1100,2000,False,950,15,10,119,3,5,5,flip,"An early phone from LG. Features a large display, web capabilities and two games."
LG,TP-5200,2001,False,950,20,10,99,4,3,6,flip,"An early phone from LG. Features polyphonic ringtones, but affected by quality issues."
LG,TP-5250,2001,False,950,20,10,99,3,4,6,flip,"An early phone from LG. Features downloadable ringtones and graphics."
LG,VX-1,2001,False,900,20,25,108,5,5,6,flip,"An early phone from LG. Features polyphonic ringtones and voice dialing."
LG,VX-10,2001,False,900,20,10,108,2,5,6,flip,"An early phone from LG. Very similar to the VX-1, but adds downloadable app support."
LG,VX-2000,2002,False,950,20,10,113,3,5,6,candybar,"Not much is known about this phone presently."
LG,VX-3100,2003,False,950,15,10,89,1,5,5,flip,"A low-end LG phone, featuring monophonic ringtones and a monochrome display."
LG,VX-4400,2003,False,950,30,10,113,0,5,7,flip,"A very popular LG phone, supporting downloadable graphics, ringtones and apps."
LG,VX-4500,2004,False,950,40,10,105,2,3,8,flip,"This upgrade to the LG VX-4400 features a speakerphone and a tall display."
LG,VX-4600,2004,False,950,40,10,96,5,5,8,flip,"The stylish evolution of LG's 4000 series."
LG,VX-4700,2004,False,1000,40,10,105,3,5,7,flip,"LG's first push-to-talk phone, featuring a prominent speaker for making calls."
LG,VX-6000,2004,False,950,40,10,113,3,3,7,flip,"A mid-range LG phone, featuring a large 18-bit display and OLED external display."
LG,VX-6100,2004,False,1000,40,10,110,1,4,7,flip,"A very popular LG phone, sporting a camera with both a flash and lens cover, as well as analogue roaming."
LG,VX-7000,2004,False,1100,50,10,110,2,5,9,flip,"LG's first video phone to be released in the US."
LG,VX-8000,2005,False,1100,50,10,110,4,5,9,flip,"LG's first CDMA phone with 1xEV-DO data to be released in the US. Also features a 1MP camera and stereo sound."
LG,VX-9000,2001,False,950,30,10,135,5,5,7,candybar,"Not much is known about this phone presently."
Motorola,A1000,2004,False,1600,50,30,168,4,4,8,p900,"A Motorola touchscreen phone with A-GPS and microSD card support."
Motorola,C139,2005,False,920,20,40,85,3,5,5,new_candybar,"A cheap basic Motorola phone with long battery life."
Motorola,Q,2005,False,1130,40,40,115,3,5,8,qwerty,"A Windows Mobile device by Motorola, featuring a QWERTY keyboard."
Motorola,RAZR V3,2004,False,680,40,20,99,1,5,6,flip,"The best selling flip phone of all time, with over 130 million units sold."
Motorola,RAZR V3xx,2006,False,940,50,20,107,2,5,7,flip,"An upgraded version of the RAZR V3 with a higher resolution camera and display."
Motorola,ROKR E1,2005,False,830,40,30,107,3,5,6,new_candybar,"A candybar phone developed in collaboration with Apple to include the iTunes music player."
Motorola,SLVR L7,2005,False,820,40,25,96,2,5,6,new_candybar,"A multimedia focused Motorola phone, successor of the ROKR E1 "iTunes phone.""
Motorola,V60,2001,False,700,20,40,109,2,5,5,flip,"A flip phone made by Motorola."
Mova,MM-G300S,2004,True,750,35,35,89,2,4,6,flip,"Mova's first low-cost offering with a bright screen and built-in games."
NEC,N21i,2002,False,1550,25,30,120,3,6,6,flip,"One of the few i-mode phones sold outside of Japan by NEC."
Nokia,1100,2003,False,900,15,30,86,0,5,4,new_candybar,"A low-end basic phone. The best selling phone of all time, with over 250 million units sold."
Nokia,2610,2006,False,970,30,20,91,1,5,4,new_candybar,"An entry level phone with support for GPRS data connections and J2ME applications."
Nokia,3310,2000,False,1000,20,50,133,0,6,7,new_candybar,"A popular phone which has gained a reputation for being very durable."
Nokia,3510i,2002,False,1000,30,40,111,1,5,7,new_candybar,"A phone featuring new technologies like polyphonic ringtones, J2ME applications, and a colour screen."
Nokia,3650,2003,False,850,35,30,130,3,5,6,3650,"A Nokia smartphone with a camera and unique rotary style keypad."
Nokia,5110,1998,False,900,20,50,170,0,5,6,candybar,"Nokia's first phone with changeable covers, and one of the first with the popular Snake game."
Nokia,5200,2006,False,760,35,25,104,2,3,5,slider,"A music oriented slider with buttons dedicated for music features."
Nokia,6110,1998,False,900,15,50,137,1,4,6,candybar,"A very influential phone with lots of new features like infrared and an ARM processor."
Nokia,6260,2004,False,760,40,20,125,3,4,6,flip,"A flip phone with a camera on the side, a predecessor of the N90 camcorder phone."
Nokia,6600,2003,False,1020,40,30,125,1,5,8,new_candybar,"A popular Nokia smartphone which popularized camera phones."
Nokia,6610,2002,False,780,30,30,83,2,5,7,new_candybar,"A Nokia phone with J2ME support, a business oriented version of the 7210."
Nokia,7210,2002,False,780,25,35,83,3,5,7,new_candybar,"A Nokia phone with J2ME support, a fashion oriented version of the 6610."
Nokia,7650,2002,False,750,30,35,154,3,4,6,slider,"A high-end phone with a large colour screen. Also Nokia's first camera phone, and the first phone with the Series 60 UI."
Nokia,7700,2003,False,1300,45,20,183,5,5,8,77xx,"A never released prototype of the Nokia 7710."
Nokia,7710,2004,False,1300,45,25,189,4,5,8,77xx,"An early touchscreen Nokia phone with strong multimedia capabilities."
Nokia,9500,2004,False,1300,50,10,230,5,4,9,communicator,"Part of the "Communicator" line of business phones, and Nokia's first phone with WiFi."
Nokia,N-Gage,2003,False,850,30,40,135,4,4,7,ngage,"A gaming phone by Nokia. It was a commercial failure."
Nokia,N70,2005,False,970,40,30,128,1,5,7,new_candybar,"The first phone in the Nseries, a series of high-end multimedia phones, along with the N90."
Nokia,N90,2005,False,760,55,20,173,4,4,7,flip,"The first Nseries phone along with the N70. Features a camcorder style design and a high-resolution display."
Palm,Treo 600,2003,False,1800,35,25,170,2,3,6,qwerty,"A PDA smartphone with a QWERTY keyboard and a large touchscreen."
Palm,Treo 650,2004,False,1800,40,25,179,2,3,6,qwerty,"A successor to Palm's Treo 600 with a higher resolution display, removable battery and Bluetooth."
Pantech,C300,2006,False,850,30,30,71,4,3,6,flip,"The smallest camera flip phone in the world."
Philips,655,2004,False,600,30,25,85,2,4,5,flip,"One of the later Philips phones. Has support for contact images."
Philips,Xenium 9@9i,2004,False,1100,30,45,104,4,5,7,flip,"A flip phone from Philips with a 1.3 megapixel camera."
Samsung,SCH-A790,2003,False,1100,40,20,119,5,6,8,flip,"Samsung's first phone with both CDMA and GSM. Only launched on Verizon, and on China Unicom as the W109."
Samsung,SCH-E159,2005,False,1000,40,40,125,3,4,8,flip,"A small silver flip phone with a twistable screen. Launched in Korea as the SCH-V600."
Samsung,SCH-M309,2004,False,1000,40,40,122,2,5,8,slider,"The Chinese equivalent of the SPH-A800, with a different UI, sounds, synth, etc."
Samsung,SCH-U520,2006,False,800,25,25,84,2,5,5,flip,"A thin flip phone with a widget based UI called Celltop."
Samsung,SGH-D500,2004,False,1000,30,25,99,1,5,6,slider,"With a high resolution camera and display, this is Samsung's first phone to sell over a million."
Samsung,SGH-D600,2005,False,900,40,25,103,2,4,6,slider,"Successor of the D500 with an improved camera and support for TV output."
Samsung,SGH-D900,2006,False,800,45,25,85,2,5,7,slider,"The thinnest slider phone at the time, at only 13 mm."
Samsung,SGH-E250,2006,False,750,30,25,85,1,4,5,slider,"A cheaper version of the D900 with a lower screen and camera resolution."
Samsung,SGH-E700,2003,False,780,40,20,85,2,3,6,flip,"A popular flip phone by Samsung."
Samsung,SGH-i300,2005,False,1100,50,30,121,3,3,8,new_candybar,"A Samsung smartphone running Windows Mobile, and the first ever phone with a hard drive."
Samsung,SGH-i607,2006,False,1200,50,35,95,3,5,10,qwerty,"A Windows Mobile device with a QWERTY keyboard, also known as Samsung BlackJack."
Samsung,SGH-P735,2004,False,800,45,30,128,5,3,8,flip,"A stylish Samsung phone with a twisting screen and 3D game support."
Samsung,SGH-T100,2002,False,720,30,40,94,2,4,7,flip,"A popular flip phone by Samsung, one of the first with a colour screen."
Samsung,SGH-Z140,2005,False,1000,35,40,105,1,4,8,flip,"A 3G flip phone from Samsung, commonly found on Vodafone."
Samsung,SPH-A640,2006,False,800,20,30,91,2,5,5,flip,"A basic flip phone featuring push to talk."
Samsung,SPH-A800,2005,False,800,45,15,110,2,4,6,slider,"The first 2-megapixel camera phone in the US. Also supports stereo sound and J2ME."
Samsung,SPH-i300,2001,False,900,35,35,170,3,4,5,flip,"The first PDA phone in the US with a colour screen."
Samsung,SPH-i500,2002,False,830,45,30,91,3,4,7,flip,"A PDA flip phone with Palm OS, a handwriting recognition pad, and GPS support."
Senlin,CS10,1999,True,750,20,20,100,3,5,4,new_candybar,"One of the first colour screen phones. Uses a 3 colour display instead of full colour."
Sferia,C161c,2007,False,800,25,15,90,3,5,5,new_candybar,"A fairly popular mid-range phone from the not so popular Polish carrier Sferia."
Sferia,C162,2007,False,850,30,15,110,4,5,6,new_candybar,"A high-end phone from the Polish carrier Sferia, not as popular as the C161c."
Sharp,J-SH04,2000,False,1000,40,30,74,4,5,9,flipcover,"The first Japanese mobile phone with a built-in camera. It also had a colour screen."
Siemens,A50,2002,False,650,15,40,95,1,4,5,new_candybar,"A popular Siemens phone with a WAP browser."
Siemens,C65,2004,False,600,35,25,86,2,5,5,new_candybar,"A mid-range phone by Siemens with J2ME support and a VGA camera."
Siemens,SX1,2003,False,1000,40,40,116,3,5,8,sx1,"The only Siemens phone running Nokia's Symbian Series 60 platform. Has an unique keypad design."
Siemens,Xelibri 6,2003,False,850,20,25,89,5,4,4,flip,"The sixth phone in the Xelibri fashion series. It has an unique design with two mirrors."
Siemens,Xelibri 8,2003,False,610,25,20,67,5,4,4,xelibri8,"The last Xelibri phone. It was a failure due to being expensive and difficult to use."
Sony,CMD Z7,2001,False,680,20,40,95,4,3,4,flipcover,"A small Sony phone meant for one-handed use."
Sony Ericsson,K700,2004,False,700,40,30,93,3,5,7,new_candybar,"A high-end camera phone by Sony Ericsson with J2ME support."
Sony Ericsson,K750,2005,False,900,45,30,99,2,5,8,new_candybar,"Successor of the K700 with a better 2 megapixel camera and expandable storage."
Sony Ericsson,K800,2006,False,900,50,30,115,2,5,8,new_candybar,"A high-end Sony Ericsson phone with a 3.2 megapixel camera and 3D graphics acceleration."
Sony Ericsson,P900,2003,False,1260,50,20,150,3,4,8,p900,"A phone which can be used with both a keypad and a touch screen, similar to the Ericsson R380."
Sony Ericsson,P990,2005,False,1100,50,30,150,3,3,9,p900,"A flagship smartphone by Sony Ericsson with Wi-Fi support."
Sony Ericsson,T610,2003,False,770,35,30,95,1,5,6,new_candybar,"A popular Sony Ericsson phone with a camera, polyphonic ringtones, and J2ME support."
Sony Ericsson,T68,2002,False,650,30,30,84,2,5,4,new_candybar,"A small and lightweight phone by Sony Ericsson, their first featuring a colour screen."
Sony Ericsson,W800,2005,False,900,30,30,99,2,5,6,new_candybar,"A music oriented phone, and Sony Ericsson's first phone to use the Walkman branding."
Spain CDMA,SL21,2002,True,800,30,30,115,2,5,5,candybar,"The first Spain CDMA phone with a colour screen and one of the first with BREW. Manufactured by TeleTim."
Spain CDMA,Slisted,2006,True,950,40,25,98,1,4,7,slider,"A multimedia slider phone for Spain CDMA. Supports CDMA and GSM networks and Custom UI."
Spain CDMA,Talk,2006,True,950,50,30,109,0,5,8,new_candybar,"A candybar phone for Spain CDMA, it can be used with the stylus or the keyboard. Supports both GSM and CDMA."
Square,LS-G450,2006,True,850,40,35,130,4,4,7,slider,"A high-end Square phone with a beautiful design and a rotating camera."
Square,LS-L420,2004,True,800,35,30,120,2,4,6,flip,"A Square flip phone with a camera and TFT colour display."
Square,LS-L510,2005,True,900,40,35,130,3,4,7,flip,"Equivalent to the LS-L420 but with updated specs and a different design."
Square,LS-S250,2005,True,900,40,25,130,3,2,6,slider,"A high-end Square slider phone."
Square,LS-X200,2003,True,700,25,40,110,4,5,5,gx55x,"The first ever Square phone with Square World. It has a weird design."
Telfokom,E540DS,2006,True,1100,45,40,102,3,4,10,new_candybar,"Telfokom's first phone to have a dual SIM card slot."
Toshiba,TT22,2002,False,600,25,25,100,5,4,5,flip,"A Japanese flip phone with a large colour screen. Features a unique outer display consisting of 9 LEDs."
Tranit,702,2003,True,900,30,30,90,2,6,5,new_candybar,"A basic feature phone from a Romanian company called Tranit."
Vitelcom,TSM100,2003,False,900,40,30,125,2,5,7,p900,"One of the first smartphones launched on Movistar."
Vitelcom,TSM30,2003,False,800,35,30,110,4,6,6,new_candybar,"A candybar phone by a Spanish company called Vitelcom."
Vitelcom,TSM7,2004,False,720,45,30,100,3,3,8,new_candybar,"A candybar phone by the Spanish company Vitelcom, with i-mode compatibility. Also known as Grundig G342i."
Zetafone,BT-20,2002,True,1000,40,10,104,2,5,7,qwerty,"Zetafone's first QWERTY phone, released with an emphasis on text messaging and J2ME apps."
Zetafone,II,1999,True,900,15,10,124,3,4,4,candybar,"A revised Zetafone with updated specs and a lower price tag."
Zetafone,III,2000,True,900,20,10,97,3,5,5,flipcover,"Zetafone's first phone to feature polyphonic ringtones, as well as a flip-down key cover."
